text_a,label
Says 90 percent of Americans and 74 percent of National Rifle Association members support background checks of gun purchasers.,0
Says Barack Obama is the only American president who has not visited the D-Day Monument in Normandy on D-Day.,2
"Every day, ""about 100 people will be arrested for possession of marijuana in Georgia.""",4
"Despite what Donald Trump claims, ""there weren’t 15,000 people who turned out in Phoenix"" to see Trump speak.",0
"""The schools in my district don't have a kitchen.""",1
"""Most people in New Hampshire want to raise the minimum wage. (State Rep. Marilinda) Garcia opposes it.""",3
"""The Federal Reserve system has presided over about a 95... percent decline in the U.S. dollar.""",4
"Says Rep. Charlie Bass, R-NH voted to ""raise his own pay"" eight times",1
"""The amount of interest"" paid on the federal debt exceeds ""total tax revenue.""",5
"Chinese workers made ""90,000 banners"" for Trump’s 2020 re-election campaign and the president chose to hire ""Chinese workers instead of American workers""",4
"""Greitens accuser admits photo session may have been a ‘dream.’ """,1
"""Sarah Palin in a coma after hit and run.""",2
"""Congress and President Obama have accumulated more debt since he took office than the total amount of debt accumulated during the first 200 years of the United States existence.""",4
"Says U.S. Rep. John Carter ""hasn’t held a town hall in five years.""",3
"""The average 401(k) in America of a person who's 60 years old is under $100,000.""",3
"""We have never been paid by the Trump campaign.""",3
"""Texas ranks: #1 in worker deaths, #1 carbon emissions, #50 in high school graduates, #50 in funding for mental health patients.""",1
"""Iraq is costing each household about $100 a month.""",0
On phasing out the private-school voucher program in his first budget,1
"""New England already has access to ample supplies of natural gas.""",0
"""President Obama pledged to go through the budget 'line by line,' but on his watch, non-defense spending has spiraled out of control, increasing by 67 percent in the last year alone.""",4
"""Hillary (Clinton) caught on tape laughing about (Hurricane) Irma ‘wiping out all of those Florida hillbillies’.""",2
"Says Gov. Rick Scott returned ""$1 million in federal funding that would have helped the state cover the cost of overseeing insurance rates under the new health care law.""",3
"Rev. Wright said ""that al-Qaida and the American flag were the same flags.""",4
"Says Robert Mueller ""didn’t follow the special counsel regulations. It clearly says write a confidential report about decisions reached. Nowhere in here does it say write a report about decisions that were not reached.""",5
"""Charlie Crist was the only prominent Republican in the country to campaign with Barack Obama before the stimulus passed, on behalf of the stimulus.""",1
"""The public option is not funded with public money. It's funded with private insurance premiums.""",1
Says coronavirus is just “the damn flu.”,2
"“Until this week, they [OSHA] weren’t even enforcing these guidelines [for coronavirus]. Still today, OSHA is not specifying which rules employees must follow or how to keep their workers safe and healthy.”",0
"""Texas Governor Rick Perry’s voter ID law is a blatant effort to defeat Wendy Davis by disenfranchising tens of thousands of women voters.""",2
"The Consumer Financial Protection Bureau ""passed a rule giving the agency unprecedented power to shut down businesses, no matter what the reason, at any time it wishes.""",2
Says one of Austin City Council Member Randi Shade’s biggest contributors is the lobbyist for the Formula 1 racetrack planned outside Austin.,4
"The religious liberty bill proposed in the Georgia House of Representatives does not specifically exclude corporations, which means they can legally claim a religious exemption.",0
"Obamacare granted ""the protection against preexisting condition discrimination that extended to more than 150 million Americans, folks who get their health insurance through their employer.""",1
"Says Democrats ""spent $40,000,000 of YOUR tax dollars trying to impeach Trump.""",5
"Says Mike Dovilla supports a plan ""that could allow a foreign corporation to take over the Ohio Turnpike"" ",4
''Both Democrats and Republicans are advocating for the use of student test scores to measure teacher effectiveness.'',1
"""Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.""",4
"Says Walker ""wants to get rid of"" students’ ability to stay on their parents’ health insurance.",5
Says video shows “the Chinese are destroying the 5G poles as they are aware that it is the thing triggering the corona symptoms.”,5
"Says Patrick ""Murphy embellished, according to reports, his University of Miami academic achievement.""",3
"Says the California congressional district he represents ""has a higher GDP than Russia.""",5
"""More than 72 percent of children in the African-American community are born out of wedlock.""",0
"""I don't answer hypotheticals.""",1
"Sen. Marco Rubio ""refuses to accept the basic science"" on climate change and is ""a climate change denier.""",3
“The coronavirus was invented and patented in the USA and then planted in China.”,5
"Bill Gunter would ""drain millions from local public schools, and give our tax dollars to private, for-profit schools run by out-of-state corporations.""",4
"Says as GOP was picking a convention city, ""I recommended Ohio.""",5
"The Supreme Court ""can’t overrule the other two"" branches of government.",4
"Under Obama, the national debt ""has been reduced every year for the last five years.""",5
"Says Lee Fisher ""wanted a $1.1 billion tax increase which could have driven countless jobs out of state.""",1
"""Democrats flip flop on pre-existing conditions.""",5
"""Obama settled 43,000 Somalian refugees in Minnesota. As of 2016, there were around 80,000. No wonder Ilhan Omar was elected. It was planned.""",2
"""Seniors enrolled in Medicare Advantage are going to see an average premium increase between $50 and $90 per month.""",4
"""Donald Trump's strategy is pretty simple. They have even said in his campaign it's to get women to stay home, get young people to stay home, get people of color to stay home, and get a lot smart, intelligent men to stay home, too.""",1
"""Andrew Jackson was the last president who actually balanced the federal budget, where we had no national debt.""",3
"In the House Republican bill, ""70 percent of the tax relief goes to those families making less than 200,000.""",1
"Marc Molinaro ""has cut taxes, his budget now is lower than it was six years ago"" in Dutchess County",1
Eighty percent of the school tax bills in the state of Pennsylvania went up over last year.,1
"Says he was ""exonerated in every single case"" in 1990s ethics violations charges.",2
"""The first Congress passed a law mandating that every able-bodied man must own a musket.""",1
"""The average bridge in Missouri is 48 years old — most were only designed to last for 50 years.""",3
Most tips left at Dunkin’ Donuts don’t go to employees.,5
"""We have the highest rate of childhood poverty of any major country on Earth.""",4
"Says Beto O’Rourke ""has a criminal record that includes DWI and burglary arrests.""",0
"""Our community (Tampa Bay) is one of the 10 most threatened by the sea level rise in the world.""",3
"""When the Republicans were in charge, they actually expanded government health care with the prescription drug program.""",0
"""Since I took office in January 2011, we have created 11,100 Rhode Island-based jobs.""",1
"""U.S. Sen. Johnny Isakson has voted for $7 trillion of our national debt!""",3
"One estimate says there may be ""three times as much oil in the United States as there is in Saudi Arabia.""",4
"""If you care about the environment, we've got record funding.""",2
Says Barack Obama is a socialist.,2
"Says he ""actually wrote the bipartisan law that makes it illegal to drill off Florida’s coast.""",3
"McCain's energy plan is a ""single-answer proposition"" — new domestic oil drilling.",2
"""As Virginia’s governor, Allen cut spending and waste with bipartisan support.""",1
"""30,000 Arizonans may have no choice"" on Affordable Care Act coverage.",3
"""Fiorina's plan would mean slashing Social Security and Medicare.""",4
"Says Donald Trump was ""forced to file for bankruptcy not once, not twice, four times.""",3
"A bill that would halt the EPA from regulating greenhouse gases would help ""stop rising gas prices.""",5
"""Half of all Americans have less than $10,000 in their savings account.""",3
"Gov. Wolf is trying to implement ""a severance tax that would be financed by Pennsylvania’s working class""",4
"""When (Ronald) Reagan came in, from 1978 to 1982, economic growth averaged less than 1 percent a year. There’s only one other four-year period where that’s true. That’s true from 2008 to 2012.""",4
"In Libya, ""America spent $2 billion total and didn’t lose a single life.""",3
Georgia is the second-fastest growing state for international tourists.,0
"""Over 40 percent of the American people don't have $400 in the bank.""",3
"""Prop 56 cheats schools out of at least $600 million.""",4
"Says she does the jobs of state auditor, secretary of state and lieutenant governor ""for less than the price of one of them"" in Washington state.",4
"""If you give guns to gangs, you can get out of jail free, if (California’s Proposition 57) passes. If you do a drive-by shooting, you can get out of jail free, if Proposition 57 passes. If you discharge guns on a school yard, you can get out of jail free.""",5
"""We went from losing 3 million jobs in the last six months of the Bush Administration,"" adding almost 600,000 private sector jobs in the first six months of the year.",3
"Says Fred Trump was arrested for ""participating in KKK riot"" in 1927.",4
"Florida ""passed a law where former felons can now vote. We've had more ex-felons register as Republicans than Democrats.""",4
"""400 bills have my name on them either as a sponsor or a co-sponsor. You don’t get that done unless you work with folks on the other side.""",1
"Says the Portland Children’s Levy holds its ""administrative expenses to less than 5 percent.""",0
"Pollsters say ""don't actually believe our own data"" and Gallup stopped primary polling ""because they don't trust their methodology.""",1
"Says that when adjusted for inflation and population growth, state general revenue spending has decreased 10.7 percent on his watch.",1
"""California is once again the sixth-largest economy in the world. If you add the GDP’s of Washington and Oregon, California would surpass the United Kingdom to become the fifth-largest economy in the world.""",3
"Says ""the coronavirus was engineered by scientists in a lab.""",5
"""Martin Luther King was a Republican.""",5
"Because of violence spreading from Mexico, ""you’ve got bullets hitting the city hall in El Paso. You’ve got bombs exploding in El Paso.""",1
"John McCain ""voted against the tax cuts of 2001 and 2003, wrongly claiming they helped only the rich.""",3
"Says detained immigrant parents separated from their children at the border are being charged ""as much as $8 a minute to call their children.""",4
"""There are 390 million guns out on the streets of a country of 329 million people.""",0
"Says President Barack Obama ""gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.""",3
"Science is ""very certain"" that the measles vaccine doesn't cause autism.",0
"Says Austin trains are ""full"" at rush hour and ""packed"" for special events.",3
"""The unemployment rate among (the) non-college-educated is well into the double digits in America. It's 4 percent or 5 percent for people who have college degrees.""",1
"""In the last three years alone, 13 times, the Supreme Court, unanimously, 9-0, including all of the president's liberal picks, have struck down the president's executive orders.""",2
"""Hurricane Sandy, the most destructive Atlantic storm ever.""",4
"Sen. Obama wants to ""enact the single largest tax increase since the Second World War.""",5
"Americans ""would run out of avocados in three weeks"" if imports from Mexico were stopped due to a border closure.",3
"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",0
"""Our conservative Georgia values are under attack"" ... (People) are ""calling for the removal of George Washington and Thomas Jefferson statues.""",1
"Wisconsin has ""one of the most progressive tax codes in the country.""",3
"""Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!""",1
"""Kewpie burgers are delicious. An Ohio institution. And they'll cost less thanks to John Kasich's tax cut.""",3
"The CDC is ""spending money on things like jazzercise, urban gardening and massage therapy"" that could be redirected to Ebola.",4
"""It is only under President Trump that we have become the largest producer of oil and gas resources.""",5
"""President Obama's suggested reduction in spending for next year: $0.""",3
"""In the last seven years of my tenure, Texas created 1.5 million new jobs. As a matter of fact, without Texas, America would have lost 400,000 jobs.""",3
"""The difference between what I support and what you support, Vice President Biden, is that you require them to opt in (to a Medicare public option), and I would not require them to opt in. … They would automatically be enrolled. That’s a big difference. … Are you forgetting what you said two minutes ago?""",4
Says Rick Scott gave a deposition in which he invoked the Fifth Amendment 75 times about his dealings as head of Columbia/HCA hospital chain,3
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",2
"Says minimum markup law goes beyond gas, tobacco and alcohol to make ""many doorbuster deals and holiday shopping specials technically against the law.""",1
"""There are statistics out there that show the number of women who died from illegal abortions prior to Roe v. Wade, that number has skyrocketed since with women dying more with legal abortions.""",2
"""Under Gov. Kasich, Ohio wages have increased by $10.3 billion.""",0
"Says a 1915 referendum on women’s right to vote ""went down in New Jersey. And it took the Legislature to pass it.""",0
"""I have never asked for nor received a single earmark or pork barrel project for my state.""",5
Says stores will be barred from selling 100-watt light bulbs as of 2012.,4
"""As a percentage of gross domestic product, we are reducing nondefense discretionary spending to its lowest level since the '60s, lower than it was under Reagan, lower than it was under Clinton, lower than it was under Bush, or both Bushes.""",4
"Says Judge JoAnne Kloppenburg agreed to use a technicality to give a convicted sex offender a new hearing because ""he didn’t understand the charge.""",4
Says Barack Obama has played nearly 100 rounds of golf as president.,0
"""We spent $3-million of your money to study the DNA of bears.""",3
"""Close to half of the children"" in California are ""at or near poverty,"" when you consider cost-of-living.",0
"""There have been no hearings"" on a criminal justice bill being considered in the Senate.",4
"""70 percent of the people who voted"" on June 5, 2012, ""just didn’t feel comfortable with the recall of the governor,"" weakening any idea that Wisconsin is ""fully behind this Walker agenda.""",1
"""From the ‘Do As I Say Not As I Do’ department: federal employees owe $3.3 billion in back taxes.""",3
"John McCain's health care plan ""leaves you on your own to pay McCain’s health insurance tax.""",4
"""It was Dan Sullivan who wrote a bill to cut Alaskans out of those decisions"" about where they can hunt and fish.",1
"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",4
"On Donald Trump’s plan to cut federal funding to sanctuary cities, ""because of a decision by the Supreme Court, no president's in a position to cut off funding across the board. It has to be very specific to the matter at hand.""",3
"""29 mass shootings have been committed by concealed carriers since 2007, while during this period only one (1) licensed civilian meaningfully intervened in a mass shooting.""",1
"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up,"" she said. ""That’s actually cheap when you compare us to the rest of the country.""",1
Paula Deen supported and campaigned for Barack Obama.,5
"""The Republicans have never done anything really to balance the budget.""",2
"Georgia legislation on immigration is a ""copycat"" of an Arizona immigration bill.",1
"""Seven years later, (Scott Walker) has not hit his first campaign promise of creating 250,000 jobs.""",0
"""My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.""",5
"The state contributed $80 million for the new Bucks arena, but new income tax revenue from basketball events alone ""is estimated to be probably over $600 million over the life of the lease.""",3
"""[W]hen adjusted for cost of living, Georgia ranks first nationally in teacher salary and benefits.""",1
"""As a state representative, David Cicilline argued against Megan's Law and voted against mandatory registration of sex offenders.""",4
"""The previous administration under President Barack Obama really was the first time that we didn’t ask a citizenship-type question … for the first time in a century, a citizenship question was not included in 2010.""",5
"""America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.""",0
"Said he won the Democratic primary ""without one ... negative TV spot.""",3
"President Obama budget request for veterans is ""more than double the amount in constant dollars appropriated in 1980, when the veterans population was larger by a third.""",0
"A ""real result"" of his term is Georgia having ""the lowest taxes per capita of any state.""",4
"Enacting the Right-to-Carry Act would amount to ""expanding the rights of sex offenders, terrorists, child predators, and abusers to carry concealed weapons across state lines.’’",1
"""The number of killings of citizens by police is at a two-decade high.""",1
"Says Mitch McConnell voted to raise Medicare costs for a current Kentucky senior by $6,000.",5
"Says Ted Strickland ""in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I don’t know where he is on this issue.""",0
"About ""3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.""",1
"A $300 million stimulus allocation to Wisconsin ""has led to the creation of tens of thousands of jobs in every corner of this state.""",5
"People buy more items during Georgia’s sales-tax holidays, boosting economic activity.",1
"""Officials at Hyperloop One have referred to the route as one of the best they've ever seen.""",1
"""When a car is sent to the United States from China, there is a Tariff to be paid of 2 1/2%. When a car is sent to China from the United States, there is a Tariff to be paid of 25%.""",3
"Says Republican state Sen. Alberta Darling offered ""unqualified support"" for a plan to end Medicare",1
"""We’re losing as many people to heroin and opioid overdoses as we lost to the AIDS epidemic at its peak.""",4
"Says ""Scott Walker’s bad budget includes: No weekend for workers.""",5
"""African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.""",1
"PIP fraud is ""$1 billion in fraud.""",1
The premiums on Medicare’s prescription drug program have fallen almost every year since it began.,5
Images show the turnout for President Donald Trump's 2017 ceremony with the New England Patriots was smaller than the team’s turnout with President Barack Obama in 2015.,4
"""You can absolutely get a gun if you have several felonies as long as you buy it on the Internet or at a gun show.""",1
"""8 Syrians caught at Texas border in Laredo.""",4
"If Obama's economic plan creates 600,000 new government jobs, ""that's about the size of the post office work force.""",3
"""You would receive a citation for taking a dildo to class"" at the University of Texas.",1
"""We're within 600 miles of 60 percent of America. We're in a perfect location.""",0
"Says a photo that shows a group of dead, scorched sheep is from Australia wildfires.",4
"""We were living outside of Houston and that’s when I found it: a commuter college, 45 minutes away that cost $50 a semester.""",3
"California’s marijuana legalization initiative, Prop. 64 ""allows marijuana smoking ads in prime time, on programs with millions of children and teenage viewers.""",4
"""I did not support the war in Iraq … The record shows that I’m right.""",5
"""Trained police hit their targets less than 30 percent of the time.""",1
Says Mitt Romney voted against convicting President Donald Trump because Burisma board member Joseph Cofer Black “is Romney’s national security advisor” and because of ties to Obama CIA director John Brennan.,5
"Says Stefani Carter ""repeatedly used her campaign contributors’ donations to rent margarita machines for our state house office.""",3
"""The Democratic Congress has already taken significant steps to create jobs and jump-start the economy, resulting in the lowest tax rates in over 50 years and the creation of over 500,000 new jobs so far this year.""",1
"""Grateful insurance company executives and their lobbyists"" from Bermuda gave McCain $50,000.",0
"""Liberal Democrats"" who back Dan McCready ""cut $716 BILLION from Medicare to fund their healthcare scheme: Obamacare.""",4
"""Breaking: Mike Huckabee just fired!""",2
"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",5
"""There’s 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They don’t have to wait until they’re 65.""",3
"Says U.S. Sen. Ron Johnson voted to let oil and gas companies emit ""unlimited carbon pollution into our air""",0
"The Seminole gambling compact offers ""$3 billion in guaranteed revenue, the largest share for any state in history.""",3
"""Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.""",2
"Says Donald Trump’s polling numbers show that he’s ""the highest with Hispanics that any Republican has ever been.""",5
"""Ninety percent"" of people living in Gaza ""don’t have access even to water.""",3
"Says Chuck Hagel ""opposed sanctions against Iran.""",1
Says Rick Perry flip-flopped on gay marriage by first saying it was a state’s rights issue and then saying he was in favor of a federal constitutional amendment banning gay marriage.,4
"Says Scott Bruun ""still believes in the same old direction that George Bush had before, which is to privatize Social Security.""",1
"""Republicans Looking To Cut Social Security As Much As 50 percent Immediately.""",5
"""The DEA just raided a United States senator — Dems in a panic.""",2
"""Tens of thousands"" of people leave New York every week.",5
"Says there's a ""100-year-old international norm not to use chemical weapons.""",3
"""Cory Gardner is sponsoring a bill to ban all abortions right now.""",1
"Sixteen thousand new Internal Revenue Service agents will be ""empowered to enforce"" the new health care legislation.",4
"Last year, ""244 suspected terrorists walked into gun shops and attempted to purchase a firearm; 223 were able to get the firearm.""",3
Says U.S. is giving seven Alaskan islands to Russia.,5
"""Oregon is spending $10 million advertising Obamacare with ads that don’t even mention the program and how to enroll in it"" and that don’t ""mention the word ‘insurance.’""",4
"Children born today will carry a $30,000 share of the national debt.",0
"The United States ""is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.""",5
"Says Wisconsin ‘could compel’ Foxconn to install solar panels that would power 33,000 homes.",4
"""I am a candidate. I have not withdrawn.""",0
"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",2
"Says Ted Cruz’s father ""was with Lee Harvey Oswald"" before the assassination of President John F. Kennedy.",2
"The book Little Red Riding Hood is something ""that’s been banned in America,"" but not assault weapons.",4
"""Congress Approves Bill Offering Free Cars To Welfare Recipients.""",2
Proof of citizenship isn't necessary before you register to vote in Florida.,4
"Says the Department of Homeland Security has ordered ""enough rounds of .40 caliber ammunition to kill every man, woman and child in the United States,"" possibly to combat ""massive civil unrest"" or ""an invasion by a foreign power.""",4
"""Light rail does not reduce congestion.""",1
Says Andy Rooney wrote a long commentary defending prayer and Christianity in the United States.,5
"Says comprehensive immigration reform ""will add $700 billion to our economy.""",1
"""Nearly one in five women in America has been a victim of rape or attempted rape.""",3
"Among neighboring states, the condition of Wisconsin highways was rated ""not only the worst, but it was worse by a gaping margin.""",3
"""In 1790, the first Congress, which was packed with framers, required all ship owners to provide medical insurance for seamen; in 1798, Congress also required seamen to buy hospital insurance for themselves. In 1792, Congress enacted a law mandating that all able-bodied citizens obtain a firearm.""",3
On counting state budget shortfalls,5
"""Women make 77 cents for every dollar earned by men.""",1
"""Republicans enacted the most drastic cuts to K-12 public schools of any state in the nation.""",4
"Of ""30,000 individuals arrested a year for crimes that are 16 or 17, over 95 percent of them do not result in a criminal conviction. Only 1.5 percent of them ultimately go to state prison.""",3
"Florida is ""one of the few states that has actually had a narrowing of the achievement gap based on income, or based on race or ethnicity.""",3
"Says there are ""probably 2 million, it could be even 3 million"" criminal immigrants in the country illegally.",1
"""From a standpoint of the county government, neither school system has received an increase in funding over the past six years.""",0
"Says Texas gained 21,000 doctors due to tort reform.",5
"""Lettuce killed more Americans this year than undocumented immigrants.""",5
"China is ""practicing how to blow up our satellites.""",0
"""Early census returns are showing that conservatives have been measurably less likely than liberals to return their census forms.""",5
"Administrative employees at colleges and universities have ""more than doubled over the last 25 years, outpacing the growth of students by more than 2 to 1.""",3
"""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.""",2
"""McDonald’s workers in Denmark have a union. Earn $45,000/year.""",3
“People are going door to door in Colorado Springs stating they are COVID testing so they can rob people!!!!”,5
"""Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?""",5
"""Existing law right now requires 700 miles of double-layered border fencing"" on the Mexico border.",5
"''Over 40 percent of African-American men in (Milwaukee County) have been going to prison for low-level drug offenses, and I think a hundred times that in the city of Madison.""",5
"""There is no planned air-conditioned restaurant out on the Lens.""",3
"Says ""Your kid just ate 16 packs of sugar.""",0
"""Even after Syrian troops began to shoot protesters in the streets with live ammunition in 2011, Clinton labeled Bashar al-Assad a ‘reformer.' """,1
"""Man pardoned by Obama three months ago arrested for murder.""",2
"""We should be seeing numbers in the 500,000 jobs created per month. (Creating 115,000 jobs, the total from April 2012) is way, way, way off from what should happen in a normal recovery.""",1
"""A lot of people are still dealing with lack of access to health care. There are counties out there, in my former Senate district, that didn’t have doctors and providers.""",1
"Democrats ""want virtual immunity for illegal aliens who have created horrible crimes and murder.""",5
"""The governor’s cuts would kick over 8,000 people out of their homes.""",4
"""Jason Carter’s plan: increase spending by $12.5 billion.""",5
"""George W. Bush doubled the debt from $5 trillion to $10 trillion. President Obama doubled the debt from $10 trillion to $20 trillion. Now we're on course to exceed $30 trillion in the next seven years or so.""",3
"In Rhode Island ""there are 150 different pension plans for public workers.""",0
"""We've got 40 years of study now that show that, with a good preschool start, you're less likely to be on public dole, you're less likely to be in prison.""",3
"Before 2005, ""the percentage of"" Texas high school ""students meeting the college readiness standards of the Texas Higher Education Coordinating Board stood at 28% in English and 42% in math. Those figures stood at 65% and 66% in 2013.""",0
"""The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.""",5
"Says Tallahassee mayor Andrew Gillum ""wants to make Florida not a sanctuary city but a sanctuary state.""",1
Says Lee Majors died and left $6 million to Donald Trump.,2
"""The federal government right now does not deport criminals.""",5
"""We have provided at least 16 tax cuts to small businesses.""",3
"""The Republican leader of the Senate said his main goal after this election is simply to win the next one.""",1
"The Democratic health care bill will ""collect higher taxes for 10 years  and provide health care for only six years.""",1
"Offshore wind power is ""significantly less expensive than solar energy.""",3
"If Rhode Island applied a  1-percent sales tax on all items exempt from sales tax, ''the state  would receive an additional $89,376,857.''",3
"""Asia ... has less freshwater per capita than any other continent, except Antarctica.""",3
"""We know dangerous criminals can slip through immigration at airports just like ours. Yet Joe Donnelly stood right here with the radical left against all efforts to secure our most vulnerable entry points.""",5
"The debt is ""nearly $6 trillion more than when President Obama was sworn into office.""",5
"Says Sen. Rob Portman says Ted Strickland earned $400,000 a year as a lobbyist after leaving Ohio for Washington.",1
On expanding Medicaid under the Affordable Care Act.,5
"""Every bit of plastic that has ever been created still exists.""",5
"""We ... sold the state airplanes as I had promised.""",0
"Richard Cordray’s nomination to head the Consumer Financial Protection Bureau marks the first time in Senate history ""that a political party has blocked a nomination of someone because they didn't like the construction of the agency.""",0
"""We pay far more for health care than any other country in the world, yet we have far worse outcomes than any other country in the world.""",3
"More than two months ago President Barack Obama signed a bill for more than $1 billion in Zika funding, but ""the federal government has still only committed $7 million"" to help Florida.",1
"""1928 was last time Republicans had the White House, the House and the Senate.""",5
"""Americans are 25x more likely to be shot & killed than others in developed countries.""",3
"Says Joe Biden ""blackmailed Ukraine with a billion in tax dollars to drop an investigation into his son and Democrats want to impeach President Trump for simply asking if it was true?""",5
Photo shows Bernie Sanders at the 1969 Stonewall riots.,5
"""Eight million Americans have dropped out of the work force since (Barack) Obama became president. ... The real unemployment rate is 19 percent.""",4
"""We were promised. The president said we would keep unemployment under 8.5 percent (if the stimulus passed).""",4
Says the 2014-15 Texas budget increases spending by less than the rate of inflation and population growth.,3
"Says President Barack Obama could ""basically"" legalize all immigrants here illegally ""by the sign of a pen.""",4
Links jailed lobbyist Jack Abramoff to Rep. C.W. Bill Young.,2
"Florida’s proposed medical marijuana amendment ""would make Florida one of the most lenient medical-marijuana states, allowing use for limitless ‘other conditions’ specified by any physician.""",3
"From 2000 to 2008, we averaged ""about five mass shootings a year. We're now averaging 15. So that's a three-fold increase.""",4
"Says a photo shows U.S. Rep. Ilhan Omar ""at a Al’ Qaida training camp in Somalia.""",2
"Gov. Maggie Hassan’s budget proposal ""raises taxes on small businesses and increases taxes and fees by $100 million.""",3
"""Live cats have holes drilled into their skulls,"" posts put into their heads and coils put into their eyes, and some have had their ears cut off or are intentionally deafened or starved at UW-Madison labs that do research to improve hearing in humans.",1
Wisconsin’s attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.,0
"Obama ""said (the individual mandate) wasn't a tax.""",0
"Says Sen. Pat Toomey ""even tried to shut down the federal government in order to eliminate funding for Planned Parenthood.""",4
"A new manufacturing plant is slated to create about 3,000 jobs in central and northeast Georgia and ""create about a $3 billion infusion"" into the economy.",1
"Says Gov. Jim Doyle and the DNR have not put hunters first and mismanaged the deer herd; as a result ""the deer population has dwindled.""",4
"Government subsidies for renewable energies such as wind and solar are 100 times greater than those given to gas and coal, and 50 times greater than what the nuclear industry enjoys.",1
The Obama administration left Trump with a “stockpile with a cupboard that was bare.”,4
"Speaking of an HIV outbreak in Indiana during his time as governor, says “we immediately deployed health resources.”",1
"""The people that went to school with (Barack Obama), they never saw him, they don't know who he is.""",2
Says the Austin chapter of the League of Women Voters has no Republicans among elected officers or on its debate committee.,1
"""Legendary Actor Sidney Poitier: Donald Trump might become 'The Greatest Of All Time.' """,2
"""The United States ranks second worst in income inequality across developed countries,"" after taxes and transfers.",3
"Says that ""perpetrators of domestic violence accounted for 54% of mass shootings between 2009 and 2016, according to the advocacy group Everytown for Gun Safety.""",5
"Russia and China are ""doing naval exercises together someplace.""",3
"""The state of California is begging us to build walls in certain areas. They don’t tell you that.""",2
"Says Jim Frishe wanted to ""tax us for doing our taxes"" through an accountant.",0
"""If there is a firearm available, it is 17 times more likely to be used either for suicide or for assaulting a friend, relative, an acquaintance than it is to be used in fending off an intruder.""",1
"""FBI crime statistics have found that labeled ‘sanctuary’ cities experience lower rates of all crime types, including homicides.""",1
"""Dubious taxpayer-funded"" stimulus spending -- Part II.",2
"""There's no demonstrable evidence they (after-school programs that feed kids) are helping kids do better at school.""",4
"""Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.""",0
"University of Texas students ""signed a petition seeking the legal right to abort newborn babies up to five-years-old.""",1
"Members of the military don’t ""contribute toward their pension.""",0
"""If there were not derivatives, there would be no bank loans at all today.""",4
"""I'm also the only lieutenant governor to not take a security detail.""",3
Says the Obama Administration has fulfilled all of Texas’ requests for fire management assisting grants.,3
"""Back door gun control is in full effect in the United States"" due to ""Obama’s Environmental Protection Agency.""",2
"Says ""Congressman Eric Cantor wants to eliminate Social Security.""",2
"""At the moment, energy companies spend 0.25 percent on R&D.""",0
"""Democrats just elected (include)… a man who preys on underage prostitutes … and an anti-semitic racist who beats women.""",4
"""The only reason the unemployment rate is going down is because … twice as many people dropped out of the employment pool as the number of jobs were created.""",4
"""Both Cruz and Rubio are missing the vast majority of their votes.""",4
"""The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.""",1
"""Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say ‘I was justified in disclosing this information.’ There is no whistleblower exception in the Espionage Act.""",3
"Kirk ""Cox joined special interests to deny teachers raises.""",2
"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because it will reduce consumption, we don't want to produce any more gasoline.""",1
“‘The Simpsons' predicted Tom Hanks getting coronavirus in 2007.”,5
"The 2011-13 state budget ""cuts overall funding for public schools by $1.6 billion""",4
"Claims that former Sen. Tom Daschle said, ""Seniors should be more accepting of the conditions that come with age instead of treating them.""",5
"Says Tom Cotton ""voted against preparing America for pandemics like Ebola.""",4
