text_a,label,entity
Says Rep. Renee Ellmers voted for the government shutdown 21 times.,2,"clay-aiken,unk,democrat,north carolina,congress,congressional-rules,health-care"
I havent switched my position on the Trans-Pacific Partnership trade deal.,2,"tim-kaine,u.s. senator,democrat,virginia,candidates-biography,trade"
Says Barack Obama is the first president to appoint 45 czars to replace elected officials in his office.,1,"chain-email,unk,none,unk,elections"
John Boehner wants to reopen a tax loophole that actually rewarded corporations for shipping jobs and profits overseas.,2,"barack-obama,president,democrat,illinois,corporations,taxes,trade"
Nobody is leaving Memphis. Thats a myth.,4,"joe-brown,memphis city councilman,democrat,tennessee,census,population,taxes"
Florida seniors are exempt from losing Medicare Advantage under the federal health care bill.,1,"george-pataki,presidential candidate,republican,new york,medicare"
"Theres a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us theres no tax.",0,"donald-trump,president-elect,republican,new york,china,trade"
I am very proud that over my almost 30 years of public service I have had no scandals.,3,"lincoln-chafee,unk,democrat,rhode island,debates,ethics"
Pat Toomey advocated for eliminating all corporate taxes.,5,"katie-mcginty,unk,democrat,pennsylvania,taxes"
"Health care reform ""requires the use of federal dollars to fund abortions through the government-run health plan.""",2,"house-republicans,unk,republican,unk,abortion,health-care"
"A lot of what (Cubas) survival depends on is Venezuelan oil money, which is drying up.",3,"ana-navarro,cnn contributor,republican,unk,foreign-policy"
The RI Board of Elections has heard official testimony from Providence residents who claim to have witnessed known illegal aliens voting in local elections.,0,"travis-rowley,unk,republican,rhode island,elections,immigration"
Says Obama called Kagan a moderate. He called Sotomayor a moderate.,3,"mitch-mcconnell,senate minority leader,republican,kentucky,supreme-court"
"Today and every day, an estimated 14,000 Americans will lose their health insurance coverage.",1,"tom-harkin,u.s. senator,democrat,iowa,health-care,workers"
Darryl Hicks had seven ethics violations and didnt pay most of the fines.,2,"mark-butler,unk,republican,unk,ethics"
"Since President Obama came into office, another 2 million Hispanics have joined the ranks of those in poverty. The number of Hispanic children living in poverty increased by 15 percent in that short period of time.",0,"donald-trump,president-elect,republican,new york,diversity,poverty"
The top 1 percent in recent years has earned 85 percent of all new income.,2,"bernie-s,u.s. senator,independent,vermont,income"
Forty percent of the Fortune 500 were started either by immigrants or children of immigrants.,2,"steve-case,unk,none,unk,economy,immigration"
The group that organized Texas Muslim Capitol Day in Austin was recently listed as one of 82 organizations designated as a terrorist group by the United Arab Emirates.,2,"molly-white,texas house member,republican,texas,foreign-policy,islam,religion,terrorism"
Go look at a Trump product. Theyre all made in China.,0,"thomas-perez,secretary of labor,democrat,maryland,china"
Nearly 6 out of 10 believe that money and wealth should be more evenly distributed among a larger percentage of the people in the U.S.,5,"bernie-s,u.s. senator,independent,vermont,economy,income"
Public education has been permanently cutby $1.6 billion through changes in the Standards of Quality funding formula.,3,"kitty-boitnott,president, virginia education association,none,virgina,education,state-budget"
This president went before the United Nations and castigated Israel for building settlements. He said nothing about thousands of rockets being rained in on Israel from the Gaza Strip.,1,"mitt-romney,former governor,republican,massachusetts,israel,terrorism"
"In its current state, this bill is the most restrictive voter ID legislation in the nation.",5,"milele-coggs,member of milwaukee common council, representing 6th district,none,wisconsin,elections"
President Obama has the most border patrols and border security deployed at the border of any previous president.,3,"debbie-wasserman-schultz,u.s. representative, florida district 23,democrat,florida,immigration"
"Says as GOP was picking a convention city, I recommended Ohio.",1,"donald-trump,president-elect,republican,new york,elections"
Washington has incentivized the militarization of local police precincts.,5,"rand-paul,candidate for u.s. senate and physician,republican,kentucky,crime,criminal-justice,homeland-security,military,public-safety,terrorism"
Says she was never a member of the Georgia Log Cabin Republicans.,4,"karen-handel,unk,republican,unk,gays-and-lesbians"
"By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests.",3,"sheila-resseger,retired teacher,none,rhode island,education,families"
Congressman Perriello voted in lock step with Nancy Pelosi 90 percent of the time.,2,"robert-hurt,u.s. congressman,republican,virginia,voting-record"
"In (Sen. Marco) Rubios state of Florida alone, Social Security lifts more than -- count it -- a million people out of poverty.",2,"ed-schultz,msnbc television host,none,unk,poverty,pundits,retirement,social-security"
Donald Trump would engage in a risky scheme to privatize Social Security.,0,"tim-kaine,u.s. senator,democrat,virginia,social-security"
Massachusetts schools are ranked No. 1 of all 50 states.,3,"mitt-romney,former governor,republican,massachusetts,debates,education,states"
"But for immigrants, we would have a contracting population...",0,"don-beyer,8th district congressional candidate,democrat,virginia,immigration,population"
The majority of the people that are coming to Arizona and trespassing are now becoming drug mules.,1,"jan-brewer,unk,republican,arizona,immigration,legal-issues,marijuana"
"Rhode Island gives undocumented pregnant women health insurance, plus a cash card with $400 a month on it and $250 a month or $275 a month to spend on food.",0,"peter-palumbo,state representative,democrat,rhode island,health-care,immigration,poverty"
Says Mark Pryor continues to insist that Obamacare is an amazing success.,0,"tom-cotton,u.s. house of representatives,republican,arkansas,health-care"
Were only inches away from no longer being a free economy.,4,"mitt-romney,former governor,republican,massachusetts,economy,new-hampshire-2012,market-regulation"
The United States is the leading nation in the world with the highest amount of doubt about the conventional wisdom of climate change.,3,"rush-limbaugh,radio host,none,unk,climate-change,environment,polls"
The U.S. Justice Department has taken on more than 100 voting rights cases since 2009.,2,"barack-obama,president,democrat,illinois,civil-rights,elections"
On average it takes 300 Americans working for a solid year to make as much money as one top CEO.,3,"hillary-clinton,presidential candidate,democrat,new york,income,workers"
Says Barack Obama has played over 90 rounds of golf as president.,5,"david-dewhurst,lieutenant governor,republican,texas,economy,poverty,recreation"
"Team Trump has accused Ted Cruz of fraud in Iowa, Texas, Colorado, Oklahoma, Louisiana, Kansas, Maine, Utah and Wisconsin.",2,"frank-luntz,president, luntz global,republican,unknown,crime,elections"
"This years redistricting has been the most open, interactive and transparent redistricting process in Tennessee history.",1,"ron-ramsey,speaker of the tennessee senate,republican,tennessee,redistricting"
"Under economic sanctions, now Iran is suffering 30 percent inflation, 20 percent unemployment.",3,"robert-reich,economics professor at the university of california (berkeley),democrat,california,economy,foreign-policy,pundits"
"Says that as Wisconsin governor, we ended welfare.",3,"tommy-thompson,unk,republican,wisconsin,job-accomplishments,welfare"
"In the 18th Congressional District, 100% of electric generation comes from coal.",5,"bob-gibbs,representative from ohio's 18th congressional district,republican,ohio,cap-and-trade,climate-change,economy,energy"
The folks in Washington are already forcing you to buy government health care.,0,"carlos-beruff,developer,republican,florida,health-care"
Says President Barack Obama is the first president weve ever had who thinks he can choose which laws to enforce and which laws to ignore.,1,"ted-cruz,senator,republican,texas,corrections-and-updates,history,legal-issues,supreme-court"
Up to 45 percent of illegal immigrants are not people that physically crossed the southern border or northern border. They are visa overstayers.,3,"julian-castro,mayor, san antonio,democrat,texas,immigration"
"Charlie Crist ""worked with Acorn"" to give felons voting rights.",1,"marco-rubio,u.s. senator,republican,florida,civil-rights"
On support for gay marriage.,1,"barack-obama,president,democrat,illinois,civil-rights,families,gays-and-lesbians,marriage"
"This year, we have added an average of 200,000 jobs per month, a majority in the private sector, a stark contrast to the Bush Administration record of losing an average of nearly 750,000 jobs per month in its last three months.",2,"nancy-pelosi,house minority leader,democrat,california,economy,job-accomplishments"
Republicans in Congress refuse to list a single tax loophole they are willing to close.,5,"barack-obama,president,democrat,illinois,federal-budget,taxes"
Says Hillary Clintons Iran nuclear deal lined the pockets of the worlds number one state sponsor of terrorism with your money.,0,"reince-priebus,chairman, republican national committee,republican,wisconsin,foreign-policy,nuclear,terrorism"
"Obama thinks the national anthem should be ""I'd Like to Teach the World to Sing.""",4,"chain-email,unk,none,unk,patriotism"
"Right now, America has $1.1 trillion of student debt. Thats more than credit card debt.",5,"mark-warner,u.s. senator,democrat,virginia,debt,education,message-machine-2014"
Twenty-six men named William have been elected to statewide office and only seven women have had the honor.,3,"ruths-list-florida,unk,organization,unk,elections,women"
When Obama took office the economy of the United States was actually shrinking for the first time in about 70 years.,0,"tim-kaine,u.s. senator,democrat,virginia,economy,history,abc-news-week"
Says Marco Rubio said that felons should not have their voting rights restored but that convicted felons should be allowed to own guns after they have done their time.,1,"facebook-posts,social media posting,none,unk,crime,elections,guns"
"Twice as much (federal) money is going back to Hawaii, Virginia and Alaska than is coming home to Oregon.",3,"jim-huffman,lewis & clark law school professor,republican,oregon,federal-budget"
I didnt inherit money from my parents.,2,"mitt-romney,former governor,republican,massachusetts,candidates-biography,corrections-and-updates"
"If you tried to pay out $1 trillion by handing it out at $1 per second, it would take more than 31,000 years.",5,"johnny-isakson,u.s. senator,republican,georgia,federal-budget"
You cant put a gun rack in a [Chevrolet] Volt.,1,"newt-gingrich,co-host on cnn's ""crossfire"",republican,georgia,energy,environment,guns"
The tax penalty that the government imposes if you dont buy health insurance is lower than it would have cost to buy insurance.,5,"ron-desantis,member of congress,republican,florida,health-care"
Israel has seen a 90 percent reduction in terrorist attacks that it attributes to building a 500-mile fence.,2,"scott-walker,milwaukee county executive,republican,wisconsin,foreign-policy,israel,terrorism"
Newt Gingrich says electric co-ops and credit unions are government-sponsored enterprises like Freddie Mac.,4,"newt-gingrich,co-host on cnn's ""crossfire"",republican,georgia,financial-regulation"
"Attempts to find things like, crime, criminal activity, indictment, have been filtered out by Google in favor of Hillary Clinton.",0,"andrew-napolitano,judge,republican,unk,technology"
The National Science Foundation spent $1.2 million paying seniors to play World of Warcraft to study the impact it had on their brain.,4,"eric-cantor,house majority leader,republican,virginia,federal-budget,pop-culture"
Our government right now. . . (is) spending 40 percent more than what we take in.,5,"michele-bachmann,congresswoman,republican,minnesota,federal-budget,new-hampshire-2012"
The biggest contribution behind a decrease in U.S. unemployment was 1.2 million people leaving the workforce,1,"newt-gingrich,co-host on cnn's ""crossfire"",republican,georgia,economy,jobs"
"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",3,"steve-crisafulli,unk,republican,unk,health-care,medicaid,state-budget"
"Says the U.S. Postal Service has taken no taxpayer aid since 1971, funds operations entirely from the sale of stamps and related products and makes an operational profit year after year.",0,"jim-hightower,commentator,democrat,texas,federal-budget,financial-regulation,government-regulation"
California has seen a 56 percent decline in the gun murder rate since the 1990s.,3,"gavin-newsom,california lt. governor,democrat,california,crime,elections,guns"
Drug overdoses are now the second-most common cause of death in New Hampshire.,1,"maggie-hassan,candidate for governor,democrat,new hampshire,drugs,states"
"Congressman Cicilline, when he was the mayor of Providence, espoused a sanctuary city.",1,"brendan-doherty,unk,republican,rhode island,immigration"
Says his opponent Dorman Grace brags on his Facebook page about receiving illegal campaign contributions.,2,"dale-peterson,unk,republican,alabama,agriculture,campaign-finance,ethics,message-machine"
Says 70 percent of Virginias Medicaid cost is for seniors in nursing homes.,1,"mark-sickles,state delegate,democrat,virginia,medicaid"
[L]ess than one-tenth of Atlantas transportation needs are covered in a referendum to levy a 1-cent sales tax.,5,"mike-bodker,mayor, johns creek,republican,unk,transportation"
More than two-thirds of the aliens the Obama administration has brought to the United States under the presidents Central American Minors program werent actually minors at all.,3,"blog-posting,unk,none,unk,homeland-security,immigration"
"Says Chris Abele, opponent in Milwaukee County executive race, failed to finish 3 separate colleges, dropping out all 3 times.",3,"jeff-stone,member of state assembly, 82nd district,republican,wisconsin,candidates-biography,education"
Obama Signs Bill Forgiving All Student Loan Debt.,4,"chain-email,unk,none,unk,education,financial-regulation"
AGallup report recently said that nearly 50 percent of small business owners arent hiring because of what they call regulatory uncertainty.,2,"sher-valenzuela,candidate for lieutenant governor of delaware in 2012.,republican,delaware,economy,government-regulation,jobs,market-regulation,small-business"
"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'",1,"john-mccain,u.s. senator,republican,arizona,foreign-policy"
"Says that Mitt Romney, while he was in Arizona, said he believes the states SB 1070 immigration law should be the model for national immigration laws.",1,"charlie-gonzalez,u.s. house member,democrat,texas,immigration"
Toomey crossed party lines to stop gun sales to suspects on the terror watch list.,0,"independence-usa-pac,unk,none,unk,guns"
Two-thirds of the people who start out in minimum wage are above the minimum wage within a year.,2,"steve-forbes,unk,republican,unk,economy,jobs,poverty"
"The state of Georgia lost 16 percent of its employees last year, and that percentage has risen over the past three years.",2,"nathan-deal,unk,republican,unk,jobs,workers"
Says hes the only licensed firearms dealer in America running for Congress.,2,"john-stone,candidate for 12th congressional district,republican,georgia,guns"
On releasing photographs depicting the abuse of prisoners.,1,"barack-obama,president,democrat,illinois,human-rights,legal-issues,terrorism,transparency"
Says attorney general candidate Jon Richards went so far to say he would only enforce the laws with which he personally agreed.,1,"brad-schimel,unk,republican,unk,elections,ethics,gays-and-lesbians,guns,legal-issues,marriage"
The pass rate for a high school level test to join the military is 35 to 40 percent.,1,"jeb-bush,unk,republican,florida,education,military"
We've got some 37-million of our fellow citizens who are living in poverty; about 12-million or 13-million are children.,5,"chris-dodd,u.s. senator,democrat,connecticut,poverty"
"Cicilline continues to accept hundreds of thousands of dollars in lobbyist, corporate PAC and insider money to fund his campaign.",0,"bill-lynch,lawyer,democrat,rhode island,campaign-finance"
Borrowing in my 2015-17 state budget is less than half that in my predecessors last budget and the lowest it has been in a decade.,3,"scott-walker,milwaukee county executive,republican,wisconsin,debt,state-budget,state-finances"
Says the federal government mandates transexuals (sic) and homosexuals grabbing children in their stranger-danger zones in the name of airport security.,4,"mark-clayton,floor installer.,democrat,tennessee,privacy"
"Every year since Gov. Walker and the Republicans have been in control of the Legislature weve created fewer jobs, according to the Bureau of Labor Statistics.",1,"brett-hulsey,unk,democrat,unk,job-accomplishments,jobs"
Claims Joe Biden said coal is more dangerous than terrorists.,0,"mitt-romney,former governor,republican,massachusetts,economy,energy,environment,jobs"
An Obama campaign tactic for rallying voters is to offer them cell phones.,4,"adam-putnam,florida commissioner of agriculture,republican,florida,campaign-advertising"
What is and isnt a Schedule I narcotic is a job for Congress.,2,"barack-obama,president,democrat,illinois,congress,drugs,legal-issues"
Higher beer production and higher consumption go hand-in-hand.,0,"kelli-stargel,senator from 15th district,republican,florida,alcohol,market-regulation"
We are now seeing a decrease in violent crime.,5,"charlie-crist,unk,democrat,florida,crime"
Says theres $4 billion in private investment along the streetcar.,0,"sam-adams,mayor of portland,democrat,oregon,city-government,economy,job-accomplishments,transportation"
Says Arkansas Republican Rep. Tom Cotton voted to provide Congress with taxpayer-funded health care for life.,4,"patriot-majority-usa,unk,democrat,unk,health-care"
Israels per capita income is greater than probably three-fourths of the rest of the world.,5,"rand-paul,candidate for u.s. senate and physician,republican,kentucky,economy,foreign-policy,israel"
"Well over 90 percent of felony cases, all over the nation, are committed by defendants who grew up in father-absent households.",0,"john-duncan,u.s. congressman,republican,tennessee,children,crime,families,legal-issues"
"For his first interview as president, Barack Obama chose Arab TV for an apology.",0,"secure-america-now,unk,none,unk,foreign-policy,message-machine-2012"
"Georgia is on track for 1,200 traffic fatalities this year, a reversal of nine years of declines.",5,"russell-mcmurry,unk,none,georgia,public-safety,transportation"
More businesses are closing than opening in Virginia today.,1,"ed-gillespie,republican strategist,republican,washington, d.c.,corporations,economy,small-business"
We have record numbers of people living in poverty.,2,"carly-fiorina,unk,republican,california,poverty"
"Obama served on a board with former Weather Underground member William Ayers and ""that relationship with Mr. Ayers on this board continued after 9/11.""",5,"hillary-clinton,presidential candidate,democrat,new york,candidates-biography"
Says Obama broke his promise to offer a comprehensive immigration bill in his first year.,5,"mitt-romney,former governor,republican,massachusetts,immigration"
The media wont publish a real photo of Trayvon Martin with tattoos on his face.,4,"chain-email,unk,none,unk,crime"
Rand Paul supports Obamas negotiations with Iran.,0,"foundation-secure-and-prosperous-america,unk,republican,unk,candidates-biography,foreign-policy,nuclear"
"For Social Security, which is projected to remain solvent through 2033, Whitehouse has cosponsored [a bill that] . . . would extend the life of the program by an additional 75 years.",3,"sheldon-whitehouse,u.s. senator,democrat,rhode island,federal-budget,poverty,social-security,taxes,wealth"
"A single parent with a couple kids can easily get $35,000 a year in public assistance in Wisconsin.",0,"glenn-grothman,state senator, 20th district,republican,wisconsin,children,education,health-care,housing,public-health,welfare"
Police in the United States are allowed to use tear gas even though it has been classified as a chemical weapon and banned in international conflict since 1993.,3,"facebook-posts,social media posting,none,unk,criminal-justice,foreign-policy,legal-issues"
Says Hillary Clinton viciously attacked women abused by Bill Clinton.,0,"donald-trump,president-elect,republican,new york,history,women"
"A letter from BP to the Minerals Management Service ""actually recommends improvements and specific recommendations around safety regulations should they choose to change them.""",0,"lamar-mckay,chairman and president of bp america,none,unk,energy,oil-spill,market-regulation,abc-news-week,workers"
"We passed without, frankly, the help of the Republican caucus, we passed 25 tax cuts last year, mostly aimed at the middle class and small businesses.",5,"david-axelrod,unk,democrat,unk,stimulus,taxes"
Under the Iran deal: If Israel attacks Iran were supposed to be on Irans side.,1,"donald-trump,president-elect,republican,new york,foreign-policy,israel"
Nobody suffered any lasting injuries from the CIA interrogation program.,4,"peter-king,u.s. house of representatives,republican,new york,foreign-policy,terrorism"
Im not one for name calling.,4,"ed-rendell,governor,democrat,pennsylvania,ethics"
Says Sen. Pat Toomey even tried to shut down the federal government in order to eliminate funding for Planned Parenthood.,0,"majority-forward,unk,democrat,unk,congress"
Wisconsin has one of the most progressive tax codes in the country.,3,"dale-kooyenga,state representative,republican,wisconsin,income,jobs,taxes"
"During the year Kagan barred military recruiters from Harvard Law School's Office of Career Services, ""military recruiting actually went up.""",2,"elena-kagan,u.s. solicitor general,democrat,new york,gays-and-lesbians,kagan-nomination,military"
ISIS reaches about 100 million people a day through social media.,2,"stanley-mcchrystal,retired u.s. army general,none,unk,iraq,terrorism"
Texas added more jobs in 2010 than any other state.,5,"rick-perry,governor,republican,texas,jobs"
"In the primary election, a right-wing group spent more than $100,000,000 to support Supreme Court Justice Rebecca Bradley.",1,"joanne-kloppenburg,state appeals court judge,none,wisconsin,campaign-finance"
"(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.",1,"david-cicilline,mayor of providence,democrat,rhode island,federal-budget,health-care,medicare,social-security"
Says Sam Houston opposed slavery and as governor said Texas should not leave the union over slavery.,2,"rick-perry,governor,republican,texas,gays-and-lesbians,history"
Our national debt is as low as it has been since World War II.,1,"goldie-taylor,msnbc contributor,democrat,georgia,debt,federal-budget"
Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.,5,"catherine-taylor,business owner,republican,rhode island,economy,government-efficiency,government-regulation,market-regulation,small-business"
Debbie Jackow unlike her opponent ...WILL NOT de-fund the 20/20 land program.,1,"debbie-jackow,clinical laboratory scientist for lee memorial health system.,none,unk,county-budget,environment"
The average age a child is trafficked into the commercial sex trade industry is between 11 and 14 years old.,2,"randy-forbes,representative,republican,virginia,children,crime"
Says 99 percent of the time police officers arent charged when they kill young people of color.,2,"benjamin-crump,unk,democrat,unk,criminal-justice,human-rights"
Six justices on the U.S. Supreme Court have been confirmed in presidential election years since 1912.,5,"mike-honda,u.s. house of representatives,democrat,california,history,supreme-court"
Property taxes are now 18% higher than when(Mark Sharpe)first took office.,1,"josh-burgin,hillsborough county commission candidate,republican,florida,taxes"
The minimum number of infrastructure (needs) in Atlanta is $900 million.,5,"kasim-reed,unk,democrat,unk,city-government"
"The firefighter and police officer pension system is not headed for bankruptcy, far from it. Thats because New Jersey first responders -- fire fighters and police officers -- have never missed making payments to the retirement system.",2,"dominick-marino,unk,none,new jersey,retirement,state-budget"
The truth was revealed there in that report that showed there was no unlawful or unethical activity on my part.,4,"sarah-palin,unk,republican,alaska,candidates-biography"
Says Donald Trump said he intends to open up additional areas off the coast to oil drilling during the campaign.,3,"bill-nelson,unk,democrat,florida,environment"
"Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel.",3,"barack-obama,president,democrat,illinois,crime,criminal-justice,guns"
Students today take more years to get through college.,0,"newt-gingrich,co-host on cnn's ""crossfire"",republican,georgia,education"
Says Rick Perry flip-flopped on gay marriage by first saying it was a states rights issue and then saying he was in favor of a federal constitutional amendment banning gay marriage.,0,"martin-frost,attorney,democrat,texas,civil-rights,gays-and-lesbians,states"
Congress decision to spend less around the world on embassy security contributed to tragedies like Benghazi.,0,"ronan-farrow,unk,none,unk,congress,federal-budget,foreign-policy"
"The United States is about 100th in voter turnout among the industrialized nations, and Texas is near the bottom in terms of voter registration and voter turnout.",3,"bruce-elfant,constable, travis county, precinct 5,democrat,texas,elections"
"Under Barack Obama's plan, the government would spend $1-trillion more.",2,"republican-national-committee-republican,unk,republican,unk,federal-budget"
"In 2011, NJ economy ranked 47th--at the bottom with Alabama, Mississippi Wyoming. Under Christie, NJ is falling behind.",3,"lou-greenwald,state assemblyman,democrat,new jersey,economy"
"Theres never been a (U.S. Supreme Court) vacancy in the last, I think, 30 years, lasting longer than 237 days.",5,"richard-blumenthal,u.s. senator,democrat,connecticut,bipartisanship,congress,history,legal-issues,supreme-court"
Nearly 60% of all occupants of HUD properties in U.S. are illegals.,4,"facebook-posts,social media posting,none,unk,housing,immigration"
"Oregon families pay an extra $1,400 a year on higher insurance premiums to cover those who do not have insurance.",3,"peter-defazio,u.s. representative,democrat,oregon,health-care"
"As soon as Chris Christie was governor, he gave tax cuts to millionaires.",2,"new-jersey-education-association,unk,none,unk,education,state-budget,taxes"
Ninety percent of Americans want our background check system strengthened and expanded to cover more gun sales.,5,"chris-murphy,u.s. house of representatives,democrat,connecticut,guns,polls"
"Over 80 percent of our trade deficit today is with countries that are not trade agreement partners, that are not level playing fields for the United States.",3,"kevin-brady,u.s. house member,republican,texas,trade"
Says Ken Cuccinelli wants to eliminate all forms of birth control.,4,"next-generation-climate-action-committee,unk,democrat,unk,sexuality"
A bill that would halt the EPA from regulating greenhouse gases would help stop rising gas prices.,1,"fred-upton,u.s. representative,republican,michigan,energy,environment,market-regulation"
"The measles vaccine has killed 108 people in the last decade, while no one has died of measles.",1,"naturalnewscom,unk,none,unk,health-care,public-health"
"For our next two years in my state, we will end with a structural surplus of $499 million.",3,"scott-walker,milwaukee county executive,republican,wisconsin,education,state-budget,state-finances"
In Virginia there has been a billion dollars in surplus over the last three years. The legislature has spent less than 1 percent of that on roads.,1,"grover-norquist,president, americans for tax reform,republican,unk,state-budget,taxes,transportation"
Virginia women earnonly 79 cents to each dollar earned by men...,3,"tim-kaine,u.s. senator,democrat,virginia,women,workers"
Says oil productions down where Obamas in charge.,2,"crossroads-gps,conservative advocacy group,republican,unk,corrections-and-updates,energy,message-machine-2012,oil-spill"
Every other major country has family paid leave.,3,"bernie-s,u.s. senator,independent,vermont,families,women,workers"
Says a picture he posted on Facebook of a man posing in front of five decapitated human heads is one of the subhuman mongrels our president set free.,4,"ted-nugent,musician,republican,texas,iraq,terrorism"
"Says that during President Barack Obamas tenure, the United States has created 15 million new jobs.",2,"tim-kaine,u.s. senator,democrat,virginia,economy,history,jobs,labor,stimulus,workers"
The (national) debt really added up $75 trillion in 2010 and is on track to hit $99 trillion this year.,1,"scott-rigell,u.s. congressman,republican,virginia,deficit,federal-budget,medicare,social-security"
President Barack Obama ordered our military to enlist illegal aliens.,0,"allen-west,u.s. representative, florida district 22,republican,florida,immigration,military"
"A government panel that didn't include cancer specialists says women shouldn't receive mammograms until age 50...If government takes over health care, recommendations like these could become the law for all kinds of diseases.",4,"americans-prosperity,unk,none,unk,health-care,women"
"This governor has cut funding repeatedly for people who have AIDS, who need drugs to save their life.",3,"herb-conaway,new jersey assemblyman,democrat,new jersey,health-care,state-budget"
"We have dozens of districts that go for 150 to 200 miles, splitting counties, splintering cities and connecting areas that have very little in common.",3,"ellen-freidin,campaign chair of fair districts florida,newsmaker,florida,elections"
Congress gave an unelected board the power to deny care to seniors.,2,"tom-price,congressman,republican,georgia,health-care,medicare"
I never said I was on the Falkland Islands.,2,"bill-oreilly,fox news channel host,none,unk,corrections-and-updates,ethics"
My state of Florida is now the third-largest state. We have surpassed New York in population.,0,"bill-nelson,unk,democrat,florida,census,states"
The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.,2,"republican-national-committee-republican,unk,republican,unk,health-care,polls"
Says Wisconsin Senate recall candidate Jessica King voted to increase her pay with taxpayer dollars by 63 percent.,4,"randy-hopper,state senator, district 18,republican,wisconsin,city-budget,income,voting-record"
Says Barack Obama began his presidency with an apology tour.,4,"mitt-romney,former governor,republican,massachusetts,debates,foreign-policy"
A Texas law will repatriate $1 billion of gold bullion from the Federal Reserve in New York to Texas.,0,"greg-abbott,governor,republican,texas,state-budget,state-finances,wealth"
The majority of the Hispanic population and the growth (of the population) is U.S.-born.,5,"jose-diaz-balart,unk,none,unk,immigration"
Says Barack Obamas administration has admitted that money from its Iran nuclear deal would go directly to terrorism.,2,"ron-johnson,unk,republican,wisconsin,china,foreign-policy,nuclear,terrorism"
No Bridge to Nowhere could occur.,1,"charles-schumer,senator,democrat,new york,federal-budget"
"When (Joe Kyrillos) had an opportunity to vote for women in terms of their health care, not once, not twice, but six times, he voted against womens health care in our state.",5,"robert-menendez,u.s. senator,democrat,new jersey,health-care,women"
"When it comes to classified information at the State Department, Hillary Clintons the decider.",2,"juan-williams,pundit, fox news,none,unk,legal-issues"
"Right now, Im polling at about 8 percent against Barack Obama and Mitt Romney.",0,"gary-johnson,presidential candidate,libertarian,new mexico,elections,polls"
Food stamps have gone up two-and-a-half times under Barack Obama.,1,"rudy-giuliani,attorney,republican,new york,federal-budget,poverty"
"In the 38 Studios deal, Wall Street investors took a risk, and went bust.",1,"allan-fung,mayor, city of cranston, r.i.,republican,rhode island,bankruptcy,debt,economy,history,job-accomplishments,message-machine-2014,campaign-advertising,state-budget,state-finances,taxes"
Says President Barack Obama broke his promise to keep a Wisconsin GM plant from closing.,1,"paul-ryan,u.s. representative,republican,wisconsin,jobs"
"The weight of the evidence (on global warming) is that most of it, maybe all of it, is because of natural causes ... its fair to say the science is in dispute.",1,"tim-pawlenty,unk,republican,unk,cap-and-trade,climate-change,energy,environment"
Mercedes said high taxes and the cost of doing business in New Jersey worked to Georgias advantage in landing the companys USA corporate headquarters.,5,"mark-drewniak,spokesman for n.j. governor chris christie,republican,new jersey,economy,jobs"
State Department officials actually directed contracts for the Haitian recovery after the earthquake to friends of the Clintons.,1,"mike-pence,governor,republican,indiana,ethics"
"The federal government is making the decision, whether we like it or not, to send 425 refugees to our state from Syria.",2,"rick-scott,governor,republican,florida,immigration,terrorism"
Beer drinking is not allowed in any Illinois state parks.,1,"howard-marklein,state senator,republican,wisconsin,state-budget"
Says U.S. Senate rival Tommy Thompson ran Medicare into the ground and nine years closer to bankruptcy.,1,"tammy-baldwin,u.s. representative,democrat,wisconsin,candidates-biography,federal-budget,medicare"
"On new dollar coins, In God We Trust is gone!",1,"chain-email,unk,none,unk,patriotism"
Freshman Rep. Bob Gibbs is spending his one year anniversary on vacation only working 6 days in all of January.,4,"democratic-congressional-campaign-committee,unk,democrat,unk,congress,government-efficiency,job-accomplishments"
Early voting remains at 96 hours.,0,"kurt-browning,secretary of state,republican,florida,elections"
Says Obama flip-flopped on banning handguns.,2,"let-freedom-ring,unk,none,unk,guns"
I remain one of the poorer members of the United States Senate.,3,"bernie-s,u.s. senator,independent,vermont,candidates-biography"
[T]he Georgia Dome has returned $10 billion in economic impact to the state of Georgia.,1,"zell-miller,unk,none,georgia,economy,tourism"
What happens is people like Warren Buffett and he says this himself...pay 15 percent on the millions of dollars that they earn from wealth income... while their secretary is paying a higher rate on her work income. It's not right.,5,"john-edwards,former senator,democrat,north carolina,taxes"
"Other Western countries have ended their ""Don't Ask, Don't Tell"" policies.",5,"carl-levin,unk,democrat,unk,gays-and-lesbians,military"
The U.S. is borrowing approximately $2.52 for every $1 of economic growth so far in 2012.,5,"rodney-frelinghuysen,unk,republican,unk,deficit,economy"
